Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
2,Extrapolation,center,Medium,xyz-,0.083547,2,True
2,Spring,center,Medium,xyz-,0.134376,2,True
2,Baseline,center,Medium,xyz-,0.144390,2,True
3,Displacement,center,Medium,xyz-,0.108248,2,True
3,Extrapolation,center,Medium,xyz-,0.095055,2,True
3,Spring,center,Medium,xyz-,0.151263,2,True
3,Baseline,center,Medium,xyz-,0.163266,2,True
4,Displacement,center,Medium,xyz-,0.120306,2,True
4,Extrapolation,center,Medium,xyz-,0.105612,2,True
4,Spring,center,Medium,xyz-,0.165291,2,True
4,Baseline,center,Medium,xyz-,0.180456,2,True
5,Displacement,center,Medium,xyz-,0.128044,2,True
5,Extrapolation,center,Medium,xyz-,0.110425,2,True
5,Spring,center,Medium,xyz-,0.173881,2,True
5,Baseline,center,Medium,xyz-,0.193414,2,True
6,Displacement,center,Medium,xyz-,0.123659,2,True
6,Extrapolation,center,Medium,xyz-,0.103485,2,True
6,Spring,center,Medium,xyz-,0.170127,2,True
6,Baseline,center,Medium,xyz-,0.193142,2,True
7,Displacement,center,Medium,xyz-,0.126734,2,True
7,Extrapolation,center,Medium,xyz-,0.105112,2,True
7,Spring,center,Medium,xyz-,0.174004,2,True
7,Baseline,center,Medium,xyz-,0.201196,2,True
8,Displacement,center,Medium,xyz-,0.138875,2,True
8,Extrapolation,center,Medium,xyz-,0.115433,2,True
8,Spring,center,Medium,xyz-,0.186223,2,True
8,Baseline,center,Medium,xyz-,0.217268,2,True
9,Displacement,center,Medium,xyz-,0.103883,3,True
9,Extrapolation,center,Medium,xyz-,0.078368,3,True
9,Spring,center,Medium,xyz-,0.142976,3,True
9,Baseline,center,Medium,xyz-,0.182551,3,True
10,Displacement,center,Medium,xyz-,0.126175,3,True
10,Extrapolation,center,Medium,xyz-,0.100009,3,True
10,Spring,center,Medium,xyz-,0.162611,3,True
10,Baseline,center,Medium,xyz-,0.205257,3,True
1,Displacement,center,Strong,xyz-,0.137292,3,True
1,Extrapolation,center,Strong,xyz-,0.107394,3,True
1,Spring,center,Strong,xyz-,0.177327,3,True
1,Baseline,center,Strong,xyz-,0.220702,3,True
2,Displacement,center,Strong,xyz-,0.150497,3,True
2,Extrapolation,center,Strong,xyz-,0.117759,3,True
2,Spring,center,Strong,xyz-,0.194874,3,True
2,Baseline,center,Strong,xyz-,0.236713,3,True
3,Displacement,center,Strong,xyz-,0.162739,3,True
3,Extrapolation,center,Strong,xyz-,0.129447,3,True
3,Spring,center,Strong,xyz-,0.211251,3,True
3,Baseline,center,Strong,xyz-,0.252375,3,True
4,Displacement,center,Strong,xyz-,0.163485,3,True
4,Extrapolation,center,Strong,xyz-,0.128561,3,True
4,Spring,center,Strong,xyz-,0.217743,3,True
4,Baseline,center,Strong,xyz-,0.255732,3,True
5,Displacement,center,Strong,xyz-,0.171321,3,True
5,Extrapolation,center,Strong,xyz-,0.134215,3,True
5,Spring,center,Strong,xyz-,0.228534,3,True
5,Baseline,center,Strong,xyz-,0.266712,3,True
6,Displacement,center,Strong,xyz-,0.169982,3,True
6,Extrapolation,center,Strong,xyz-,0.131113,3,True
6,Spring,center,Strong,xyz-,0.228432,3,True
6,Baseline,center,Strong,xyz-,0.268163,3,True
7,Displacement,center,Strong,xyz-,0.173546,3,True
7,Extrapolation,center,Strong,xyz-,0.135376,3,True
7,Spring,center,Strong,xyz-,0.231691,3,True
7,Baseline,center,Strong,xyz-,0.271254,3,True
8,Displacement,center,Strong,xyz-,0.183286,3,True
8,Extrapolation,center,Strong,xyz-,0.141669,3,True
8,Spring,center,Strong,xyz-,0.245319,3,True
8,Baseline,center,Strong,xyz-,0.284900,3,True
9,Displacement,center,Strong,xyz-,0.180932,3,True
9,Extrapolation,center,Strong,xyz-,0.137695,3,True
9,Spring,center,Strong,xyz-,0.243223,3,True
9,Baseline,center,Strong,xyz-,0.285024,3,True
10,Displacement,center,Strong,xyz-,0.186116,3,True
10,Extrapolation,center,Strong,xyz-,0.142990,3,True
10,Spring,center,Strong,xyz-,0.247588,3,True
10,Baseline,center,Strong,xyz-,0.291510,3,True
2,Displacement,center,Light,xz+,0.007063,2,True
2,Extrapolation,center,Light,xz+,0.039258,2,True
2,Spring,center,Light,xz+,0.078342,2,True
2,Baseline,center,Light,xz+,0.006261,2,True
3,Displacement,center,Light,xz+,0.011630,2,True
3,Extrapolation,center,Light,xz+,0.043636,2,True
3,Spring,center,Light,xz+,0.084442,2,True
3,Baseline,center,Light,xz+,0.010973,2,True
4,Displacement,center,Light,xz+,0.015172,2,True
4,Extrapolation,center,Light,xz+,0.049125,2,True
4,Spring,center,Light,xz+,0.090641,2,True
4,Baseline,center,Light,xz+,0.015940,2,True
5,Displacement,center,Light,xz+,0.018100,2,True
5,Extrapolation,center,Light,xz+,0.048274,2,True
5,Spring,center,Light,xz+,0.096739,2,True
5,Baseline,center,Light,xz+,0.023292,2,True
6,Displacement,center,Light,xz+,0.018823,2,True
6,Extrapolation,center,Light,xz+,0.045605,2,True
6,Spring,center,Light,xz+,0.100592,2,True
6,Baseline,center,Light,xz+,0.029985,2,True
7,Displacement,center,Light,xz+,0.025504,2,True
7,Extrapolation,center,Light,xz+,0.049469,2,True
7,Spring,center,Light,xz+,0.106325,2,True
7,Baseline,center,Light,xz+,0.042362,2,True
8,Displacement,center,Light,xz+,0.026162,2,True
8,Extrapolation,center,Light,xz+,0.044173,2,True
