Run,Model,Location,Intensity,Direction,Value,Occlusions
8,Extrapolation,center,Strong,xz+,0.101451, 2 
8,Spring,center,Strong,xz+,0.202766, 2 
9,Displacement,center,Strong,xz+,0.116306, 2 
9,Extrapolation,center,Strong,xz+,0.096659, 2 
9,Spring,center,Strong,xz+,0.202690, 2 
10,Displacement,center,Strong,xz+,0.117562, 2 
10,Extrapolation,center,Strong,xz+,0.100672, 2 
10,Spring,center,Strong,xz+,0.204640, 2 
1,Displacement,center,Light,xz-,0.000000, 2 
1,Extrapolation,center,Light,xz-,0.021475, 2 
1,Spring,center,Light,xz-,0.043257, 2 
2,Displacement,center,Light,xz-,0.005497, 2 
2,Extrapolation,center,Light,xz-,0.021339, 2 
2,Spring,center,Light,xz-,0.037791, 2 
3,Displacement,center,Light,xz-,0.007760, 2 
3,Extrapolation,center,Light,xz-,0.020237, 2 
3,Spring,center,Light,xz-,0.033369, 2 
4,Displacement,center,Light,xz-,0.013234, 2 
4,Extrapolation,center,Light,xz-,0.024794, 2 
4,Spring,center,Light,xz-,0.030886, 2 
5,Displacement,center,Light,xz-,0.015045, 2 
5,Extrapolation,center,Light,xz-,0.023943, 2 
5,Spring,center,Light,xz-,0.029127, 2 
6,Displacement,center,Light,xz-,0.015280, 2 
6,Extrapolation,center,Light,xz-,0.024146, 2 
6,Spring,center,Light,xz-,0.028596, 2 
7,Displacement,center,Light,xz-,0.018392, 2 
7,Extrapolation,center,Light,xz-,0.024588, 2 
7,Spring,center,Light,xz-,0.029186, 2 
8,Displacement,center,Light,xz-,0.020051, 2 
8,Extrapolation,center,Light,xz-,0.022783, 2 
8,Spring,center,Light,xz-,0.028194, 2 
9,Displacement,center,Light,xz-,0.019682, 2 
9,Extrapolation,center,Light,xz-,0.024307, 2 
9,Spring,center,Light,xz-,0.027805, 2 
10,Displacement,center,Light,xz-,0.021853, 2 
10,Extrapolation,center,Light,xz-,0.026231, 2 
10,Spring,center,Light,xz-,0.031939, 2 
1,Displacement,center,Medium,xz-,0.027882, 2 
1,Extrapolation,center,Medium,xz-,0.029359, 2 
1,Spring,center,Medium,xz-,0.036609, 2 
2,Displacement,center,Medium,xz-,0.031478, 2 
2,Extrapolation,center,Medium,xz-,0.030665, 2 
2,Spring,center,Medium,xz-,0.039384, 2 
3,Displacement,center,Medium,xz-,0.033576, 2 
3,Extrapolation,center,Medium,xz-,0.032583, 2 
3,Spring,center,Medium,xz-,0.043968, 2 
4,Displacement,center,Medium,xz-,0.039339, 2 
4,Extrapolation,center,Medium,xz-,0.033898, 2 
4,Spring,center,Medium,xz-,0.049649, 2 
5,Displacement,center,Medium,xz-,0.041577, 2 
5,Extrapolation,center,Medium,xz-,0.033569, 2 
5,Spring,center,Medium,xz-,0.051963, 2 
6,Displacement,center,Medium,xz-,0.045190, 2 
6,Extrapolation,center,Medium,xz-,0.036574, 2 
6,Spring,center,Medium,xz-,0.055863, 2 
7,Displacement,center,Medium,xz-,0.042905, 2 
7,Extrapolation,center,Medium,xz-,0.032531, 2 
7,Spring,center,Medium,xz-,0.053607, 2 
8,Displacement,center,Medium,xz-,0.047169, 2 
8,Extrapolation,center,Medium,xz-,0.040870, 2 
8,Spring,center,Medium,xz-,0.056009, 2 
9,Displacement,center,Medium,xz-,0.047527, 2 
9,Extrapolation,center,Medium,xz-,0.031968, 2 
9,Spring,center,Medium,xz-,0.061022, 2 
10,Displacement,center,Medium,xz-,0.049217, 2 
10,Extrapolation,center,Medium,xz-,0.033521, 2 
10,Spring,center,Medium,xz-,0.067432, 2 
1,Displacement,center,Strong,xz-,0.051722, 2 
1,Extrapolation,center,Strong,xz-,0.038628, 2 
1,Spring,center,Strong,xz-,0.070519, 2 
2,Displacement,center,Strong,xz-,0.056653, 2 
2,Extrapolation,center,Strong,xz-,0.034264, 2 
2,Spring,center,Strong,xz-,0.078259, 2 
3,Displacement,center,Strong,xz-,0.057255, 2 
3,Extrapolation,center,Strong,xz-,0.037422, 2 
